"","Quercus_CA","Quercus_MX","Quercus_MX_stellatae","roburoids_albae","mac_bic","mac_bic_lob"
"refRAD.ref_glauca_raxml.bt050",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt051",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt052",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt053",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt054",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt055",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt056",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt057",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt058",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt059",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt060",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt061",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt062",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt063",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt064",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt065",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt066",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt067",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt068",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt069",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt070",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt071",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"refRAD.ref_glauca_raxml.bt072",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt073",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt074",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt075",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt076",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt077",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt078",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt079",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
